"676304, CREEKSIDE VILLAGE HEALTHCARE, 914 N BRAZOSPORT BLVD, CLUTE TX, 77531"
"676347, AMARILLO CENTER FOR SKILLED CARE, 6641 W AMARILLO BLVD, AMARILLO TX, 79106"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676309, BAYWOOD CROSSING REHABILITATION & HEALTHCARE CENTE, 5020 SPACE CENTER BLVD, PASADENA TX, 77505"
"676324, OAK MANOR NURSING HOME, 1200 FERGUSON ST, NACOGDOCHES TX, 75961"
"676333, SCC AT CLEAR BROOK CROSSING REHABILITATION AND HEA, 10800 FLORA MAE MEADOWS RD, HOUSTON TX, 77089"
"676325, TRISUN CARE CENTER -  LAKESIDE, 8707 LAKESIDE PARKWAY, SAN ANTONIO TX, 78245"
"676350, THE HEIGHTS OF TOMBALL, 27840 JOHNSON ROAD, TOMBALL TX, 77375"
"676303, MIRADOR, 5857 TIMBERGATE DR, CORPUS CHRISTI TX, 78414"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676335, BROADMOOR MEDICAL LODGE, 5242 MEDICAL DRIVE, ROCKWALL TX, 75032"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676367, BELTERRA HEALTH & REHAB, 2170 NORTH LAKE FOREST DRIVE, MCKINNEY TX, 75071"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676312, LEGEND OAKS HEALTHCARE AND REHABILITATION - WEST S, 222 BERTETTI DR, SAN ANTONIO TX, 78227"
"676314, LA HACIENDA NURSING & REHAB CENTER, 3730 W. OREM DRIVE, HOUSTON TX, 77045"
"676303, MIRADOR, 5857 TIMBERGATE DR, CORPUS CHRISTI TX, 78414"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676321, WINDSOR NURSING AND REHABILITATION CENTER OF CORPU, 3030 FIG ST, CORPUS CHRISTI TX, 78404"
"676321, WINDSOR NURSING AND REHABILITATION CENTER OF CORPU, 3030 FIG ST, CORPUS CHRISTI TX, 78404"
"676341, CAPROCK NURSING & REHABILITATION, 900 COLLEGE AVE, BORGER TX, 79007"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676317, THE HARRISON AT HERITAGE, 4600 HERITAGE TRACE PARKWAY, FORT WORTH TX, 76244"
"676309, BAYWOOD CROSSING REHABILITATION & HEALTHCARE CENTE, 5020 SPACE CENTER BLVD, PASADENA TX, 77505"
"676339, REMARKABLE HEALTHCARE OF DALLAS, LP, 3350 BONNIE VIEW ROAD, DALLAS TX, 75216"
"676339, REMARKABLE HEALTHCARE OF DALLAS, LP, 3350 BONNIE VIEW ROAD, DALLAS TX, 75216"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676335, BROADMOOR MEDICAL LODGE, 5242 MEDICAL DRIVE, ROCKWALL TX, 75032"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676299, SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE, 9801 S 1ST STREET, AUSTIN TX, 78748"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676316, HIGH HOPE CARE CENTER OF BRENHAM, 401 EAST BLUE BELL ROAD, BRENHAM TX, 77833"
"676323, THE CRESCENT, 11353 SUGAR PARK LANE, SUGAR LAND TX, 77478"
"676299, SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE, 9801 S 1ST STREET, AUSTIN TX, 78748"
"676303, MIRADOR, 5857 TIMBERGATE DR, CORPUS CHRISTI TX, 78414"
"676338, COON MEMORIAL HOME, 210 TEXAS BLVD, DALHART TX, 79022"
"676304, CREEKSIDE VILLAGE HEALTHCARE, 914 N BRAZOSPORT BLVD, CLUTE TX, 77531"
"676316, HIGH HOPE CARE CENTER OF BRENHAM, 401 EAST BLUE BELL ROAD, BRENHAM TX, 77833"
"676346, SENIOR CARE OF EDINBURG, 4503 S SUGAR RD, EDINBURG TX, 78539"
