455069, SCOTT & WHITE SKILLED NURSING FACILITY, 2401 SOUTH 31ST ST, TEMPLE TX, 76504
455359, VISTA DEL MAR HEALTH & REHABILITATION, 1314 3RD STREET, CORPUS CHRISTI TX, 78401
455429, COLONIAL TYLER CARE CENTER, 930 S BAXTER, TYLER TX, 75701
455444, MESA VISTA INN HEALTH CENTER, 5756 N KNOLL DR, SAN ANTONIO TX, 78240
455069, SCOTT & WHITE SKILLED NURSING FACILITY, 2401 SOUTH 31ST ST, TEMPLE TX, 76504
455429, COLONIAL TYLER CARE CENTER, 930 S BAXTER, TYLER TX, 75701
455850, HURST PLAZA NURSING & REHAB, 215 E PLAZA BLVD, HURST TX, 76053
455923, WOODRIDGE NURSING & REHABILITATION, 600 S HILLSIDE DR, BEEVILLE TX, 78102
455887, SOUTHWOOD CARE CENTER, 3759 VALLEY VIEW RD, AUSTIN TX, 78704
455891, RENAISSANCE PARK MULTI CARE CENTER, 4252 BRYANT IRVIN RD, FORT WORTH TX, 76109
455913, HEALTHCARE CENTER AT THE FORUM AT PARK LANE, 7827 PARK LN, DALLAS TX, 75225
455761, MISSION NURSING & REHABILITATION CENTER, 1013 S BRYAN RD, MISSION TX, 78572
455900, MOUNT PLEASANT HEALTHCARE CENTER, 1606 MEMORIAL AVE, MOUNT PLEASANT TX, 75455
455822, RETAMA MANOR NURSING CENTER/HARLINGEN, 820 CAMELOT, HARLINGEN TX, 78550
455850, HURST PLAZA NURSING & REHAB, 215 E PLAZA BLVD, HURST TX, 76053
455987, CANTON HEALTHCARE CENTER, 1661 S BUFFALO, CANTON TX, 75103
455797, PEARSALL NURSING AND REHABILITATION CENTER - NORTH, 169 MEDICAL DR, PEARSALL TX, 78061
455808, JACKSBORO HEALTHCARE CENTER, 211 E JASPER ST, JACKSBORO TX, 76458
455798, HEARTLAND HEALTH CARE CENTER, 2001 FOREST RIDGE DR, BEDFORD TX, 76021
455754, NORTHEAST REHABILITATION AND HEALTHCARE CENTER, 603 CORINNE ST, SAN ANTONIO TX, 78218
455831, PARIS HEALTHCARE CENTER, 610 DESHONG DR, PARIS TX, 75460
455736, SAN JACINTO METHODIST HOSPITAL, 4401 GARTH RD, BAYTOWN TX, 77521
