"675225, GREEN ACRES OF BAYTOWN, 2000 BEAUMONT ST, BAYTOWN TX, 77520"
"675201, HILLSIDE MEDICAL LODGE, 300 S HIGHWAY 36 BYPASS, GATESVILLE TX, 76528"
"675240, THE SPRINGS, 704 N TAYLOR RD, HUGHES SPRINGS TX, 75656"
"675281, COTTONWOOD CREEK HEALTHCARE COMMUNITY, 1111 W SHORE DR, RICHARDSON TX, 75080"
"675217, ELKHART OAKS CARE CENTER, 214 JONES RD, ELKHART TX, 75839"
"675185, LONGMEADOW HEALTHCARE CENTER, 120 MEADOWVIEW DR, JUSTIN TX, 76247"
"675210, HERITAGE HOUSE NURSING AND REHABILITATION, 407 N COLLEGE ST, ROSEBUD TX, 76570"
"675240, THE SPRINGS, 704 N TAYLOR RD, HUGHES SPRINGS TX, 75656"
"675231, JACINTO CITY HEALTHCARE CENTER, 1405 HOLLAND, HOUSTON TX, 77029"
"675212, THE HOMESTEAD OF DENISON, 1101 REBA MCENTIRE LN, DENISON TX, 75020"
"675240, THE SPRINGS, 704 N TAYLOR RD, HUGHES SPRINGS TX, 75656"
"675210, HERITAGE HOUSE NURSING AND REHABILITATION, 407 N COLLEGE ST, ROSEBUD TX, 76570"
"675271, SEVEN OAKS NURSING AND REHABILITATION LP, 901 SEVEN OAKS RD, BONHAM TX, 75418"
"675185, LONGMEADOW HEALTHCARE CENTER, 120 MEADOWVIEW DR, JUSTIN TX, 76247"
"675270, PECAN MANOR NURSING AND REHABILITATION, 413 E MANSFIELD CARDINAL, KENNEDALE TX, 76060"
"675212, THE HOMESTEAD OF DENISON, 1101 REBA MCENTIRE LN, DENISON TX, 75020"
"675277, CARE INN OF LA GRANGE, 457 N MAIN ST, LA GRANGE TX, 78945"
"675274, WILLIS NURSING AND REHABILITATION LP, 3000 N DANVILLE ST, WILLIS TX, 77378"
"675225, GREEN ACRES OF BAYTOWN, 2000 BEAUMONT ST, BAYTOWN TX, 77520"
"675185, LONGMEADOW HEALTHCARE CENTER, 120 MEADOWVIEW DR, JUSTIN TX, 76247"
"675305, PLEASANT VALLEY HEALTHCARE AND REHABILITATION CENT, 1525 PLEASANT VALLEY RD, GARLAND TX, 75040"
"675217, ELKHART OAKS CARE CENTER, 214 JONES RD, ELKHART TX, 75839"
"675277, CARE INN OF LA GRANGE, 457 N MAIN ST, LA GRANGE TX, 78945"
"675212, THE HOMESTEAD OF DENISON, 1101 REBA MCENTIRE LN, DENISON TX, 75020"
"675264, ATHENS HEALTHCARE AND REHABILITATION CENTER, 305 S PALESTINE ST, ATHENS TX, 75751"
"675229, WOODLAND MANOR NURSING AND REHABILITATION LP, 99 RIGBY OWEN RD, CONROE TX, 77304"
"675177, PINE TREE LODGE NURSING CENTER, 2711 PINE TREE RD, LONGVIEW TX, 75604"
"675231, JACINTO CITY HEALTHCARE CENTER, 1405 HOLLAND, HOUSTON TX, 77029"
"675177, PINE TREE LODGE NURSING CENTER, 2711 PINE TREE RD, LONGVIEW TX, 75604"
"675273, VALLEY MILLS NURSING AND REHABILITATION LP, 101 W. AVENUE E, VALLEY MILLS TX, 76689"
"675267, GREENBRIER NURSING AND REHABILITATION CENTER OF TY, 3526 W ERWIN ST, TYLER TX, 75702"
"675268, LAREDO MEDICAL CENTER, 1700 E SAUNDERS ST, LAREDO TX, 78044"
"675226, STEVENS NURSING AND REHABILITATION CENTER OF HALLE, 106 KAHN ST, HALLETTSVILLE TX, 77964"
"675305, PLEASANT VALLEY HEALTHCARE AND REHABILITATION CENT, 1525 PLEASANT VALLEY RD, GARLAND TX, 75040"
"675229, WOODLAND MANOR NURSING AND REHABILITATION LP, 99 RIGBY OWEN RD, CONROE TX, 77304"
"675309, RETAMA MANOR NURSING CENTER/ALICE, 606 COYOTE TR, ALICE TX, 78332"
"675231, JACINTO CITY HEALTHCARE CENTER, 1405 HOLLAND, HOUSTON TX, 77029"
"675212, THE HOMESTEAD OF DENISON, 1101 REBA MCENTIRE LN, DENISON TX, 75020"
"675205, PRINCETON PLACE REHABILITATION & HEALTHCARE MEDICA, 7602 LOUIS PASTEUR ST, SAN ANTONIO TX, 78229"
"675281, COTTONWOOD CREEK HEALTHCARE COMMUNITY, 1111 W SHORE DR, RICHARDSON TX, 75080"
"675234, CLUTE LTC PARTNERS, INC., 603 E PLANTATION RD, CLUTE TX, 77531"
"675225, GREEN ACRES OF BAYTOWN, 2000 BEAUMONT ST, BAYTOWN TX, 77520"
"675225, GREEN ACRES OF BAYTOWN, 2000 BEAUMONT ST, BAYTOWN TX, 77520"
"675233, MISSION CARE CENTERS-ALL SEASONS, 6150 S LOOP EAST, HOUSTON TX, 77087"
"675271, SEVEN OAKS NURSING AND REHABILITATION LP, 901 SEVEN OAKS RD, BONHAM TX, 75418"
"675234, CLUTE LTC PARTNERS, INC., 603 E PLANTATION RD, CLUTE TX, 77531"
"675226, STEVENS NURSING AND REHABILITATION CENTER OF HALLE, 106 KAHN ST, HALLETTSVILLE TX, 77964"
"675226, STEVENS NURSING AND REHABILITATION CENTER OF HALLE, 106 KAHN ST, HALLETTSVILLE TX, 77964"
"675210, HERITAGE HOUSE NURSING AND REHABILITATION, 407 N COLLEGE ST, ROSEBUD TX, 76570"
"675253, AZALEA TRAIL NURSING AND REHABILITATION CENTER, 411 SPRING CREEK RD, GRAND SALINE TX, 75140"
"675229, WOODLAND MANOR NURSING AND REHABILITATION LP, 99 RIGBY OWEN RD, CONROE TX, 77304"
"675254, GULF HEALTH CARE CENTER IN GALVESTON, 3702 COVE VIEW BLVD, GALVESTON TX, 77554"
"675256, TULIA HEALTH AND REHABILITATION CENTER, 714 S AUSTIN, TULIA TX, 79088"
"675212, THE HOMESTEAD OF DENISON, 1101 REBA MCENTIRE LN, DENISON TX, 75020"
"675225, GREEN ACRES OF BAYTOWN, 2000 BEAUMONT ST, BAYTOWN TX, 77520"
"675256, TULIA HEALTH AND REHABILITATION CENTER, 714 S AUSTIN, TULIA TX, 79088"
"675293, LINDEN HEALTHCARE CENTER, 1201 W HOUSTON ST, LINDEN TX, 75563"
"675185, LONGMEADOW HEALTHCARE CENTER, 120 MEADOWVIEW DR, JUSTIN TX, 76247"
"675220, AVALON PLACE KIRBYVILLE, 700 N HERNDON, KIRBYVILLE TX, 75956"
"675281, COTTONWOOD CREEK HEALTHCARE COMMUNITY, 1111 W SHORE DR, RICHARDSON TX, 75080"
"675234, CLUTE LTC PARTNERS, INC., 603 E PLANTATION RD, CLUTE TX, 77531"
"675217, ELKHART OAKS CARE CENTER, 214 JONES RD, ELKHART TX, 75839"
"675231, JACINTO CITY HEALTHCARE CENTER, 1405 HOLLAND, HOUSTON TX, 77029"
"675256, TULIA HEALTH AND REHABILITATION CENTER, 714 S AUSTIN, TULIA TX, 79088"
"675233, MISSION CARE CENTERS-ALL SEASONS, 6150 S LOOP EAST, HOUSTON TX, 77087"
"675297, HOUSTON NURSING AND REHABILITATION LP, 4225 DENMARK, HOUSTON TX, 77016"
"675206, HOMESTEAD NURSING AND REHABILITATION OF COLLINSVIL, 501 N MAIN ST, COLLINSVILLE TX, 76233"
"675273, VALLEY MILLS NURSING AND REHABILITATION LP, 101 W. AVENUE E, VALLEY MILLS TX, 76689"
"675267, GREENBRIER NURSING AND REHABILITATION CENTER OF TY, 3526 W ERWIN ST, TYLER TX, 75702"
"675273, VALLEY MILLS NURSING AND REHABILITATION LP, 101 W. AVENUE E, VALLEY MILLS TX, 76689"
"675281, COTTONWOOD CREEK HEALTHCARE COMMUNITY, 1111 W SHORE DR, RICHARDSON TX, 75080"
"675274, WILLIS NURSING AND REHABILITATION LP, 3000 N DANVILLE ST, WILLIS TX, 77378"
"675273, VALLEY MILLS NURSING AND REHABILITATION LP, 101 W. AVENUE E, VALLEY MILLS TX, 76689"
"675234, CLUTE LTC PARTNERS, INC., 603 E PLANTATION RD, CLUTE TX, 77531"
"675225, GREEN ACRES OF BAYTOWN, 2000 BEAUMONT ST, BAYTOWN TX, 77520"
"675231, JACINTO CITY HEALTHCARE CENTER, 1405 HOLLAND, HOUSTON TX, 77029"
"675281, COTTONWOOD CREEK HEALTHCARE COMMUNITY, 1111 W SHORE DR, RICHARDSON TX, 75080"
"675183, TWIN OAKS HEALTH AND REHABILITATION CENTER, 1123 N BOLTON ST, JACKSONVILLE TX, 75766"
"675251, COUNTRY MEADOWS NURSING & REHABILITATION CENTER, 3301 PARK ROW BLVD, CORSICANA TX, 75110"
"675264, ATHENS HEALTHCARE AND REHABILITATION CENTER, 305 S PALESTINE ST, ATHENS TX, 75751"
"675222, SEABREEZE NURSING AND REHABILITATION LP, 6602 MEMORIAL DR, TEXAS CITY TX, 77590"
"675277, CARE INN OF LA GRANGE, 457 N MAIN ST, LA GRANGE TX, 78945"
"675293, LINDEN HEALTHCARE CENTER, 1201 W HOUSTON ST, LINDEN TX, 75563"
