"676108, VIDOR HEALTH & REHABILITATION CENTER, 470 MOORE DR, VIDOR TX, 77662"
"676112, CRESTVIEW COURT, 224 W PLEASANT RUN RD, CEDAR HILL TX, 75104"
"676098, THE PLAZA AT RICHARDSON, 1301 RICHARDSON DR, RICHARDSON TX, 75080"
"676144, SENIOR CARE HEALTH & REHABILITATION CENTER - WICHI, 910 MIDWESTERN PKWY, WICHITA FALLS TX, 76302"
"676085, THE ARBORS, 1910 MEDI PARK DR, AMARILLO TX, 79106"
"676153, REGENT CARE CENTER OF LEAGUE CITY, 2620 W WALKER, LEAGUE CITY TX, 77573"
"676109, CALDER WOODS, 7080 CALDER, BEAUMONT TX, 77706"
"676103, WELLS LTC PARTNERS INC, 46 MAY STREET, WELLS TX, 75976"
"676114, RIVER HILLS HEALTH AND REHABILITATION CENTER, 2091 BANDERA HWY, KERRVILLE TX, 78028"
"676107, CORPUS CHRISTI NURSING AND REHABILITATION CENTER, 2735 AIRLINE RD, CORPUS CHRISTI TX, 78414"
"676131, THE SUMMIT AT LAKEWAY HEALTHCARE CENTER, 1917 LOHMANS CROSSING RD, LAKEWAY TX, 78734"
"676111, THE BUCKINGHAM, 8530 WOODWAY DRIVE, HOUSTON TX, 77063"
"676116, SENIOR CARE OF WESTWOOD, 8702 S COURSE DR, HOUSTON TX, 77099"
"676090, WESLEY COURT HEALTH CENTER, 2617 ANTILLEY ROAD, ABILENE TX, 79606"
"676114, RIVER HILLS HEALTH AND REHABILITATION CENTER, 2091 BANDERA HWY, KERRVILLE TX, 78028"
"676090, WESLEY COURT HEALTH CENTER, 2617 ANTILLEY ROAD, ABILENE TX, 79606"
"676072, CORRIGAN LTC PARTNERS INC, 300 HYDE ST, CORRIGAN TX, 75939"
"676090, WESLEY COURT HEALTH CENTER, 2617 ANTILLEY ROAD, ABILENE TX, 79606"
"676050, PARAMOUNT SENIOR CARE CENTERS AT PASADENA, 3434 WATTERS RD, PASADENA TX, 77504"
"676059, PARK MANOR OF WESTCHASE, 11910 RICHMOND AVE, HOUSTON TX, 77082"
"676084, WARM SPRINGS REHABILITATION HOSPITAL OF SAN ANTONI, 5101 MEDICAL DR, SAN ANTONIO TX, 78229"
"676102, SENIOR CARE OF JACKSONVILLE, 810 BELAIRE STREET, JACKSONVILLE TX, 75766"
"676060, AMBROSIO GUILLEN TEXAS STATE VETERANS HOME, 9650 KENWORTHY ST, EL PASO TX, 79924"
"676057, ASHTON PARKE CARE CENTER INC, 210 GULF FREEWAY, TEXAS CITY TX, 77591"
"676121, SILVER TREE NURSING AND REHABILITATION CENTER, 930 ROY RICHARD DR, SCHERTZ TX, 78154"
"676123, FAIRFIELD NURSING & REHABILITATION CENTER, 420 MOODY ST, FAIRFIELD TX, 75840"
"676087, CIMARRON PLACE HEALTH & REHABILITATION CENTER, 3801 CIMARRON, CORPUS CHRISTI TX, 78414"
"676087, CIMARRON PLACE HEALTH & REHABILITATION CENTER, 3801 CIMARRON, CORPUS CHRISTI TX, 78414"
"676105, THE PLAZA AT LUBBOCK, 4910 EMORY, LUBBOCK TX, 79416"
"676107, CORPUS CHRISTI NURSING AND REHABILITATION CENTER, 2735 AIRLINE RD, CORPUS CHRISTI TX, 78414"
"676098, THE PLAZA AT RICHARDSON, 1301 RICHARDSON DR, RICHARDSON TX, 75080"
"676098, THE PLAZA AT RICHARDSON, 1301 RICHARDSON DR, RICHARDSON TX, 75080"
"676107, CORPUS CHRISTI NURSING AND REHABILITATION CENTER, 2735 AIRLINE RD, CORPUS CHRISTI TX, 78414"
"676102, SENIOR CARE OF JACKSONVILLE, 810 BELAIRE STREET, JACKSONVILLE TX, 75766"
"676109, CALDER WOODS, 7080 CALDER, BEAUMONT TX, 77706"
"676123, FAIRFIELD NURSING & REHABILITATION CENTER, 420 MOODY ST, FAIRFIELD TX, 75840"
"676098, THE PLAZA AT RICHARDSON, 1301 RICHARDSON DR, RICHARDSON TX, 75080"
"676080, TOWN HALL ESTATES ARLINGTON INC, 824 W MAYFIELD RD, ARLINGTON TX, 76015"
"676152, SEVEN ACRES JEWISH SENIOR CARE SERVICES INC, 6200 N BRAESWOOD, HOUSTON TX, 77074"
"676152, SEVEN ACRES JEWISH SENIOR CARE SERVICES INC, 6200 N BRAESWOOD, HOUSTON TX, 77074"
"676050, PARAMOUNT SENIOR CARE CENTERS AT PASADENA, 3434 WATTERS RD, PASADENA TX, 77504"
"676109, CALDER WOODS, 7080 CALDER, BEAUMONT TX, 77706"
"676089, WINNIE L LTC PARTNERS INC, 2104 N KARNES, CAMERON TX, 76520"
"676053, MERKEL NURSING CENTER, 1704 N 1ST, MERKEL TX, 79536"
"676103, WELLS LTC PARTNERS INC, 46 MAY STREET, WELLS TX, 75976"
"676109, CALDER WOODS, 7080 CALDER, BEAUMONT TX, 77706"
"676099, THE ARBOUR AT WESTMINSTER MANOR, 4200 JACKSON AVE, AUSTIN TX, 78731"
"676092, BONNER STREET PLAZA HEALTHCARE & REHABILITATION, 421 S BONNER, JACKSONVILLE TX, 75766"
"676083, BROWNSVILLE NURSING AND REHABILITATION CENTER, 320 LORENALY DR, BROWNSVILLE TX, 78520"
"676108, VIDOR HEALTH & REHABILITATION CENTER, 470 MOORE DR, VIDOR TX, 77662"
"676068, WEST TEXAS LTC PARTNERS INC, 1915 GREENWOOD ST, SAN ANGELO TX, 76901"
"676080, TOWN HALL ESTATES ARLINGTON INC, 824 W MAYFIELD RD, ARLINGTON TX, 76015"
"676114, RIVER HILLS HEALTH AND REHABILITATION CENTER, 2091 BANDERA HWY, KERRVILLE TX, 78028"
"676052, IMMANUEL'S HEALTHCARE, 4515 VILLAGE CREEK RD, FORT WORTH TX, 76119"
"676109, CALDER WOODS, 7080 CALDER, BEAUMONT TX, 77706"
"676083, BROWNSVILLE NURSING AND REHABILITATION CENTER, 320 LORENALY DR, BROWNSVILLE TX, 78520"
"676107, CORPUS CHRISTI NURSING AND REHABILITATION CENTER, 2735 AIRLINE RD, CORPUS CHRISTI TX, 78414"
"676068, WEST TEXAS LTC PARTNERS INC, 1915 GREENWOOD ST, SAN ANGELO TX, 76901"
"676121, SILVER TREE NURSING AND REHABILITATION CENTER, 930 ROY RICHARD DR, SCHERTZ TX, 78154"
"676050, PARAMOUNT SENIOR CARE CENTERS AT PASADENA, 3434 WATTERS RD, PASADENA TX, 77504"
"676057, ASHTON PARKE CARE CENTER INC, 210 GULF FREEWAY, TEXAS CITY TX, 77591"
"676057, ASHTON PARKE CARE CENTER INC, 210 GULF FREEWAY, TEXAS CITY TX, 77591"
"676174, CAMERON NURSING AND REHAB, 2202 N TRAVIS ST, CAMERON TX, 76520"
"676084, WARM SPRINGS REHABILITATION HOSPITAL OF SAN ANTONI, 5101 MEDICAL DR, SAN ANTONIO TX, 78229"
"676072, CORRIGAN LTC PARTNERS INC, 300 HYDE ST, CORRIGAN TX, 75939"
"676099, THE ARBOUR AT WESTMINSTER MANOR, 4200 JACKSON AVE, AUSTIN TX, 78731"
"676099, THE ARBOUR AT WESTMINSTER MANOR, 4200 JACKSON AVE, AUSTIN TX, 78731"
"676092, BONNER STREET PLAZA HEALTHCARE & REHABILITATION, 421 S BONNER, JACKSONVILLE TX, 75766"
"676085, THE ARBORS, 1910 MEDI PARK DR, AMARILLO TX, 79106"
"676095, SENIOR CARE OF WEST OAKS, 3200 W. SLAUGHTER LANE, AUSTIN TX, 78748"
"676075, TRISTAR CARE CENTER INC, 619 W LIVE OAK RD, FREDERICKSBURG TX, 78624"
"676099, THE ARBOUR AT WESTMINSTER MANOR, 4200 JACKSON AVE, AUSTIN TX, 78731"
"676108, VIDOR HEALTH & REHABILITATION CENTER, 470 MOORE DR, VIDOR TX, 77662"
"676099, THE ARBOUR AT WESTMINSTER MANOR, 4200 JACKSON AVE, AUSTIN TX, 78731"
"676109, CALDER WOODS, 7080 CALDER, BEAUMONT TX, 77706"
"676119, RIO GRANDE CITY NURSING AND REHABILITATION CENTER, 2530 CENTRAL PALM DR, RIO GRANDE CITY TX, 78582"
"676068, WEST TEXAS LTC PARTNERS INC, 1915 GREENWOOD ST, SAN ANGELO TX, 76901"
"676100, SENIOR CARE OF SAN ANGELO, 5455 KNICKERBOCKER RD, SAN ANGELO TX, 76904"
"676084, WARM SPRINGS REHABILITATION HOSPITAL OF SAN ANTONI, 5101 MEDICAL DR, SAN ANTONIO TX, 78229"
"676109, CALDER WOODS, 7080 CALDER, BEAUMONT TX, 77706"
"676092, BONNER STREET PLAZA HEALTHCARE & REHABILITATION, 421 S BONNER, JACKSONVILLE TX, 75766"
"676085, THE ARBORS, 1910 MEDI PARK DR, AMARILLO TX, 79106"
"676114, RIVER HILLS HEALTH AND REHABILITATION CENTER, 2091 BANDERA HWY, KERRVILLE TX, 78028"
"676102, SENIOR CARE OF JACKSONVILLE, 810 BELAIRE STREET, JACKSONVILLE TX, 75766"
"676090, WESLEY COURT HEALTH CENTER, 2617 ANTILLEY ROAD, ABILENE TX, 79606"
