"675862, PARK BEND SN HEALTH CENTER, 2122 PARK BEND DR, AUSTIN TX, 78758"
"675879, TERRELL HEALTHCARE CENTER, 204 W NASH, TERRELL TX, 75160"
"675857, WILLIAM R COURTNEY TEXAS STATE VETERANS HOME, 1424 MARTIN LUTHER KING JR LN, TEMPLE TX, 76504"
"675830, AUTUMN LEAVES, 1010 EMERALD ISLE DR, DALLAS TX, 75218"
"675896, RIVER CITY CARE CENTER, 921 NOLAN ST, SAN ANTONIO TX, 78202"
"675873, CLYDE W COSPER TEXAS STATE VETERANS HOME, 1300 SEVEN OAKS RD, BONHAM TX, 75418"
"675890, REGENT CARE AT MEDICAL CENTER, 3935 MEDICAL DR, SAN ANTONIO TX, 78229"
"675858, PARAMOUNT SENIOR CARE CENTERS AT SAN ANTONIO, 5437 EISENHAUER RD, SAN ANTONIO TX, 78218"
"675833, REGENT CARE CENTER OAKWELL FARMS, 8501 LAURENS LN, SAN ANTONIO TX, 78218"
"675892, GULF POINTE PLAZA, 1008 ENTERPRISE BLVD, ROCKPORT TX, 78382"
"675840, LEXINGTON PLACE NURSING & REHABILITATION, 7146 BAKER BLVD, RICHLAND HILLS TX, 76118"
"675842, MI CASITA LTC PARTNERS INC, 2400 QUAKER AVE, LUBBOCK TX, 79410"
"675830, AUTUMN LEAVES, 1010 EMERALD ISLE DR, DALLAS TX, 75218"
"675899, MATAGORDA NURSING & REHABILITATION CENTER, 4521 AVE F, BAY CITY TX, 77414"
"675879, TERRELL HEALTHCARE CENTER, 204 W NASH, TERRELL TX, 75160"
"675896, RIVER CITY CARE CENTER, 921 NOLAN ST, SAN ANTONIO TX, 78202"
"675839, CYPRESS GLEN, 7200 NINTH AVE, PORT ARTHUR TX, 77642"
"675863, FRANK M TEJEDA TEXAS STATE VETERANS HOME, 200 VETERANS DR, FLORESVILLE TX, 78114"
"675833, REGENT CARE CENTER OAKWELL FARMS, 8501 LAURENS LN, SAN ANTONIO TX, 78218"
"675898, CEDAR LAKE NURSING HOME, 1611 W ROYALL BLVD, MALAKOFF TX, 75148"
"675890, REGENT CARE AT MEDICAL CENTER, 3935 MEDICAL DR, SAN ANTONIO TX, 78229"
"675898, CEDAR LAKE NURSING HOME, 1611 W ROYALL BLVD, MALAKOFF TX, 75148"
"675839, CYPRESS GLEN, 7200 NINTH AVE, PORT ARTHUR TX, 77642"
"675899, MATAGORDA NURSING & REHABILITATION CENTER, 4521 AVE F, BAY CITY TX, 77414"
"675839, CYPRESS GLEN, 7200 NINTH AVE, PORT ARTHUR TX, 77642"
"675879, TERRELL HEALTHCARE CENTER, 204 W NASH, TERRELL TX, 75160"
"675900, AVALON PLACE TRINITY, 808 S ROBB, TRINITY TX, 75862"
"675858, PARAMOUNT SENIOR CARE CENTERS AT SAN ANTONIO, 5437 EISENHAUER RD, SAN ANTONIO TX, 78218"
"675885, BURLESON ST JOSEPH MANOR, 1022 PRESIDENTIAL CORRIDOR HWY 21 E, CALDWELL TX, 77836"
"675836, HILL COUNTRY CARE CENTER, 111 HOSPITAL DR, JUNCTION TX, 76849"
"675877, OAKWOOD NURSING AND REHABILITATION LP, 301 W RANDOL MILL RD, ARLINGTON TX, 76011"
"675858, PARAMOUNT SENIOR CARE CENTERS AT SAN ANTONIO, 5437 EISENHAUER RD, SAN ANTONIO TX, 78218"
"675836, HILL COUNTRY CARE CENTER, 111 HOSPITAL DR, JUNCTION TX, 76849"
"675896, RIVER CITY CARE CENTER, 921 NOLAN ST, SAN ANTONIO TX, 78202"
"675893, CRYSTAL CREEK AT PRESTON HOLLOW, 11409 N CENTRAL EXPWY, DALLAS TX, 75243"
"675863, FRANK M TEJEDA TEXAS STATE VETERANS HOME, 200 VETERANS DR, FLORESVILLE TX, 78114"
"675837, E F AND BERTHA KRUSE MEMORIAL LUTHERAN VILLAGE, 1700 E STONE ST, BRENHAM TX, 77833"
"675830, AUTUMN LEAVES, 1010 EMERALD ISLE DR, DALLAS TX, 75218"
"675842, MI CASITA LTC PARTNERS INC, 2400 QUAKER AVE, LUBBOCK TX, 79410"
"676236, BROOKDALE PLACE WILLOWBROOK, 13500 BRETON RIDGE, HOUSTON TX, 77070"
"676223, BAYOU PINES CARE CENTER, 4905 FLEMING STREET, LA MARQUE TX, 77568"
"676241, GREENHILL VILLAS, 2530 GREENHILL RD, MOUNT PLEASANT TX, 75455"
"676191, SUNDANCE INN HEALTH CENTER, 2034 SUNDANCE PKWY, NEW BRAUNFELS TX, 78130"
"676193, THE WATERTON HEALTHCARE & REHABILITATION, 2875 SHILOH ROAD, TYLER TX, 75703"
"676202, PARK VALLEY INN HEALTH CENTER, 17751 PARK VALLEY DR, ROUND ROCK TX, 78681"
"676226, REGENT CARE CENTER OF SAN MARCOS, 1351 SADLER, SAN MARCOS TX, 78666"
"676216, POWERBACK REHABILITATION SAN ANTONIO, 5423 HAMILTON WOLFE RD, SAN ANTONIO TX, 78240"
"676208, GRACE CARE CENTER OF CYPRESS, 9602 HUFFMEISTER RD, HOUSTON TX, 77095"
"676211, WESLEY WOODS HEALTH & REHABILITATION, 1700 WOODGATE DRIVE, WACO TX, 76712"
"676241, GREENHILL VILLAS, 2530 GREENHILL RD, MOUNT PLEASANT TX, 75455"
"676243, POWERBACK REHABILITATION RICHARDSON, 1350 E LOOKOUT DR, RICHARDSON TX, 75082"
"676236, BROOKDALE PLACE WILLOWBROOK, 13500 BRETON RIDGE, HOUSTON TX, 77070"
"676228, KENDALL HOUSE WELLNESS & REHABILITATION, 1050 GRAND BLVD., BOERNE TX, 78006"
"676225, MITCHELL COUNTY NURSING AND REHABILITATION CENTER, 1941 CHESTNUT ST, COLORADO CITY TX, 79512"
"676241, GREENHILL VILLAS, 2530 GREENHILL RD, MOUNT PLEASANT TX, 75455"
"676242, GANADO NURSING AND REHABILITATION CENTER, 107 E ROGERS, GANADO TX, 77962"
"676243, POWERBACK REHABILITATION RICHARDSON, 1350 E LOOKOUT DR, RICHARDSON TX, 75082"
"675924, REGENT CARE CENTER OF WOODWAY, 7801 WOODWAY DR, WACO TX, 76712"
"676020, MENARD MANOR, 100 GAY ST, MENARD TX, 76859"
"675909, INDIAN OAKS LIVING CENTER, 415 INDIAN OAKS DR, HARKER HEIGHTS TX, 76548"
"675942, TOWERS NURSING HOME, 907 GARWOOD, SMITHVILLE TX, 78957"
"675943, NEW HOPE MANOR, 1623 W NEW HOPE DR, CEDAR PARK TX, 78613"
"675964, MRC CREEKSIDE, 1433 VETERANS MEMORIAL PARKWAY, HUNTSVILLE TX, 77340"
"675952, JULIETTE FOWLER COMMUNITIES, 1260 ABRAMS RD, DALLAS TX, 75214"
"675972, CARROLLTON HEALTH AND REHABILITATION CENTER, 1618 KIRBY RD, CARROLLTON TX, 75006"
"675904, WINDFLOWER HEALTH CENTER, 5500 SW 9TH AVE, AMARILLO TX, 79106"
"675973, MCLEAN CARE CENTER, 605 W SEVENTH ST, MCLEAN TX, 79057"
"675967, NORTHGATE PLAZA NURSING & REHABILITATION CENTER, 2101 NORTHGATE DR, IRVING TX, 75062"
"675903, MEXIA LTC NURSING AND REHABILITATION, 601 TERRACE LN, MEXIA TX, 76667"
"675963, NORTH POINTE NURSING AND REHABILITATION LP, 7804 VIRGIL ANTHONY BLVD, WATAUGA TX, 76148"
"675945, WELLINGTON CARE CENTER, 1506 CHILDRESS ST, WELLINGTON TX, 79095"
"675960, CASTLE PINES HEALTH AND REHABILITATION, 2414 W FRANK AVE, LUFKIN TX, 75904"
"675972, CARROLLTON HEALTH AND REHABILITATION CENTER, 1618 KIRBY RD, CARROLLTON TX, 75006"
"675903, MEXIA LTC NURSING AND REHABILITATION, 601 TERRACE LN, MEXIA TX, 76667"
"675968, STONE OAK CARE CENTER, 505 MADISON OAK DR, SAN ANTONIO TX, 78258"
"676036, VISTA RIDGE NURSING & REHABILITATION CENTER, 700 E VISTA RIDGE MALL DR, LEWISVILLE TX, 75067"
"675968, STONE OAK CARE CENTER, 505 MADISON OAK DR, SAN ANTONIO TX, 78258"
"675963, NORTH POINTE NURSING AND REHABILITATION LP, 7804 VIRGIL ANTHONY BLVD, WATAUGA TX, 76148"
"675954, SENIOR VILLAGE NURSING HOME, 3101 S. MAIN ST, PERRYTON TX, 79070"
"675937, SAGEBROOK SN HEALTH CENTER, 901 DISCOVERY BLVD, CEDAR PARK TX, 78613"
"675906, BENBROOK NURSING & REHABILITATION CENTER, 1000 MCKINLEY ST, BENBROOK TX, 76126"
"675944, OAK RIDGE MANOR, 2501 MORRIS SHEPPARD DR, BROWNWOOD TX, 76801"
"675996, COLUMBUS OAKS HEALTHCARE COMMUNITY, 300 NORTH ST, COLUMBUS TX, 78934"
"676009, TREEMONT HEALTH CARE CENTER, 2501 WESTERLAND DR, HOUSTON TX, 77063"
"675910, HOGAN PARK NURSING & REHABILITATION, 3203 SAGE ST, MIDLAND TX, 79705"
"675916, ARLINGTON VILLA RETIREMENT COMMUNITY, 2601 W RANDOL MILL RD, ARLINGTON TX, 76012"
"675907, TRINITY NURSING AND REHABILITATION OF DIBOLL LP, 900 S TEMPLE DR, DIBOLL TX, 75941"
"675929, CEDAR CREEK NURSING AND REHABILITATION CENTER, 159 MONTAGUE AVE, BANDERA TX, 78003"
"675977, VILLAGE CREEK NURSING HOME, 3825 VILLAGE CREEK RD, FORT WORTH TX, 76119"
"675973, MCLEAN CARE CENTER, 605 W SEVENTH ST, MCLEAN TX, 79057"
"675938, SHINER NURSING AND REHABILITATION CENTER INC, 1213 N AVE B, SHINER TX, 77984"
"675923, MARBRIDGE VILLA, 2504 BLISS SPILLAR ROAD, MANCHACA TX, 78652"
"676012, MYSTIC PARK NURSING & REHAB CENTER, 8503 MYSTIC PARK, SAN ANTONIO TX, 78254"
"675933, LA HACIENDA HEALTHCARE, 2204 PEASE ST, HARLINGEN TX, 78550"
"675911, GRANGER VILLA, 800 N COMMERCE ST, GRANGER TX, 76530"
"675901, CAMBRIDGE HEALTH AND REHABILITATION CENTER, 1106 GOLFVIEW, RICHMOND TX, 77469"
"675969, SETTLERS RIDGE CARE CENTER, 1280 SETTLERS RIDGE RD, CELINA TX, 75009"
"676009, TREEMONT HEALTH CARE CENTER, 2501 WESTERLAND DR, HOUSTON TX, 77063"
"675907, TRINITY NURSING AND REHABILITATION OF DIBOLL LP, 900 S TEMPLE DR, DIBOLL TX, 75941"
"675922, PARKVIEW MANOR NURSING AND REHABILITATION, 206 N SMITH ST, WEIMAR TX, 78962"
"675920, SNYDER HEALTHCARE CENTER, 5311 BIG SPRING HWY, SNYDER TX, 79549"
"675972, CARROLLTON HEALTH AND REHABILITATION CENTER, 1618 KIRBY RD, CARROLLTON TX, 75006"
"675958, CHRISTIAN CARE CENTER, 1008 CITIZENS TRAIL, TEXARKANA TX, 75501"
"676004, THE HILLS NURSING & REHABILITATION, 201 E THOMPSON ST, DECATUR TX, 76234"
"675959, SONGBIRD LODGE, 2500 SONGBIRD CIR, BROWNWOOD TX, 76801"
